ID,Date,Total Loss
178,10/11/2014 0:00,11000
179,7/18/2007 0:00,0
180,11/23/2012 0:00,0
181,12/27/2011 0:00,600
182,1/20/2008 0:00,69650
183,6/12/2006 0:00,0
184,12/29/2013 0:00,0
185,4/29/2015 0:00,0
186,9/25/2008 0:00,25300
187,4/24/2013 0:00,19700
188,4/29/2008 0:00,1000
189,8/13/2010 0:00,15200
190,3/4/2006 0:00,0
191,3/12/2015 0:00,15100
192,6/20/2015 0:00,3050
193,11/21/2010 0:00,8500
194,2/24/2016 0:00,5899
195,1/3/2009 0:00,14350
196,8/2/2013 0:00,9500
197,11/16/2015 0:00,45075
198,8/15/2012 0:00,37000
199,5/13/2007 0:00,8000
200,10/26/2007 0:00,0
201,6/15/2006 0:00,30000
202,9/18/2011 0:00,0
203,4/5/2011 0:00,375000
204,6/25/2010 0:00,25000
205,1/18/2014 0:00,0
206,1/10/2005 0:00,31500
207,3/20/2005 0:00,49800
208,11/2/2016 0:00,0
209,6/27/2012 0:00,15000
210,2/18/2006 0:00,16800
211,7/31/2011 0:00,0
212,2/23/2008 0:00,0
213,5/28/2013 0:00,11200
214,12/3/2008 0:00,0
215,3/12/2016 0:00,0
216,5/10/2005 0:00,1500
217,4/30/2016 0:00,0
218,9/14/2016 0:00,20000
219,1/30/2005 0:00,35500
220,7/15/2005 0:00,5000
221,10/18/2010 0:00,0
222,7/16/2013 0:00,0
223,12/23/2016 0:00,73000
224,8/28/2016 0:00,2000
225,3/27/2009 0:00,0
226,1/26/2011 0:00,0
227,3/16/2011 0:00,6000
228,9/2/2005 0:00,143000
229,5/20/2016 0:00,17600
230,7/1/2007 0:00,187000
231,12/10/2012 0:00,2300
232,8/30/2010 0:00,4100
233,12/11/2005 0:00,90000
234,1/29/2006 0:00,7200
235,5/12/2014 0:00,19000
236,7/14/2011 0:00,0
237,2/2/2007 0:00,1700
238,12/19/2014 0:00,9000
239,3/20/2013 0:00,3000
240,10/23/2005 0:00,2800
241,6/20/2016 0:00,250500
242,2/20/2015 0:00,6000
243,4/20/2005 0:00,140300
244,10/15/2015 0:00,477000
245,3/13/2009 0:00,35520
246,11/17/2009 0:00,1200
247,5/29/2006 0:00,25900
248,9/5/2013 0:00,1300
249,1/23/2009 0:00,0
250,8/8/2016 0:00,65200
251,5/31/2008 0:00,200
252,12/3/2015 0:00,2200
253,5/6/2011 0:00,14500
254,2/17/2013 0:00,0
255,7/21/2008 0:00,6000
256,8/3/2012 0:00,26200
257,3/24/2006 0:00,93500
258,3/19/2014 0:00,3600
259,4/21/2013 0:00,0
260,4/26/2005 0:00,13250
261,9/6/2011 0:00,148500
262,10/15/2007 0:00,108500
263,2/24/2014 0:00,0
264,1/22/2015 0:00,3000
265,11/1/2010 0:00,46100
266,9/29/2011 0:00,0
267,5/19/2005 0:00,37800
268,2/6/2006 0:00,18300
269,1/4/2007 0:00,2700
270,3/1/2006 0:00,0
271,6/16/2012 0:00,200
272,5/14/2013 0:00,14500
273,7/27/2015 0:00,500
274,4/29/2010 0:00,200
275,4/18/2008 0:00,1500
276,4/6/2010 0:00,31800
277,8/19/2015 0:00,0
278,12/27/2009 0:00,500
279,8/19/2008 0:00,81000
280,11/27/2015 0:00,0
281,1/19/2010 0:00,10500
282,7/27/2008 0:00,109000
283,11/4/2015 0:00,27000
284,2/8/2005 0:00,0
285,1/23/2008 0:00,400
286,7/12/2005 0:00,2050
287,6/9/2006 0:00,100
288,2/25/2007 0:00,2000
289,6/4/2014 0:00,0
290,5/2/2015 0:00,1000
291,4/22/2006 0:00,11600
292,12/31/2008 0:00,85190
293,7/30/2013 0:00,500
294,2/3/2008 0:00,0
295,5/29/2011 0:00,7000
296,10/30/2016 0:00,9980
297,10/14/2014 0:00,0
298,11/16/2013 0:00,0
299,11/21/2005 0:00,500
300,4/2/2012 0:00,0
301,2/28/2013 0:00,0
302,9/26/2006 0:00,3820
303,3/20/2008 0:00,5250
304,10/17/2012 0:00,0
305,3/22/2012 0:00,1000
306,1/11/2013 0:00,0
307,4/25/2011 0:00,4000
308,6/1/2009 0:00,1000
309,6/18/2006 0:00,300
310,9/25/2013 0:00,21100
311,3/4/2011 0:00,11400
312,7/9/2007 0:00,34500
313,9/9/2009 0:00,150
314,12/24/2011 0:00,10000
315,11/13/2008 0:00,0
316,11/7/2013 0:00,7500
317,7/31/2006 0:00,48750
318,6/23/2015 0:00,16500
319,11/24/2010 0:00,15200
